SKU,CustomsDescription,CustomsTariffNo,CustomsCountry
WKP-UND-SNP-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-WIN-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-WIN-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-WDL-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-AUT-IM-AB,Planner agenda (bound diary),4820102010,CA
WKP-UND-BLO-IM-AB,Planner agenda (bound diary),4820102010,CA
WKP-UND-BTR-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-CHB-IM-AB,Planner agenda (bound diary),4820102010,CA
WKP-UND-CHB-IM-AC,Planner agenda (bound diary),4820102010,CA
WKP-UND-ECF-IM-AC,Planner agenda (bound diary),4820102010,CA
WKP-UND-FWN-IM-AB,Planner agenda (bound diary),4820102010,CA
WKP-UND-MNF-IM-AB,Planner agenda (bound diary),4820102010,CA
WKP-UND-MOS-IM-AC,Planner agenda (bound diary),4820102010,CA
